SITECODE,NAZEV,SUBJECT,SIZE
CZ0414027,Lomnickı rybník,"oligotrofní a mezotrofní stojaté vody níinného a subalpínského stupnì kontinentální a alpínské oblasti a horskıch poloh a jinıch oblastí, s vegetací tøíd Littorelletea uniflorae nebo Isoëto-Nanojuncetea (3130), pøirozená dystrofní jezera a tùnì (3160), evropská suchá vøesovištì (4030), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), pøechodová rašeliništì a tøasovištì (7140), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), hnìdásek chrastavcovı (Euphydryas aurinia)",109.6451
CZ0323155,Lopata,páchník hnìdı (Osmoderma eremita),16.752
CZ0213612,Louèeò - hotel Jivák,netopır velkı (Myotis myotis),0.0325
CZ0413015,Louky u Dlouhé Lomnice,hnìdásek chrastavcovı (Euphydryas aurinia),26.3037
CZ0214040,Louky u Drahlína,"modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius)",12.6201
CZ0537011,Louky u Pøelouèe,"modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius)",133.4897
CZ0533702,Louky v Jeníkovì,vrkoè Geyerùv (Vertigo geyeri),13.7355
CZ0424140,Louek,"smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), lesák rumìlkovı (Cucujus cinnaberinus)",12.1052
CZ0623355,Lovèickı potok a Jordánek,pøástevník kostivalovı (Euplagia quadripunctaria),36.1935
CZ0424037,Lovoš,"polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), pøástevník kostivalovı (Euplagia quadripunctaria)",292.9447
CZ0423219,Luèní potok - Tøebušín,rak kamenáè (Austropotamobius torrentium),0.6592
CZ0523823,Luèní potok v Podkrkonoší,rak kamenáè (Austropotamobius torrentium),3.5621
CZ0624129,Luèní údolí,"vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), buèiny asociace Asperulo-Fagetum (9130), èolek velkı (Triturus cristatus)",125.9743
CZ0723753,Luhaèovice - zámek,"netopır velkı (Myotis myotis), vrápenec malı (Rhinolophus hipposideros)",0.1355
CZ0523279,Lukaveckı potok,velevrub tupı (Unio crassus),0.9877
CZ0313106,Lunice a Neárka,"páchník hnìdı (Osmoderma eremita), piskoø pruhovanı (Misgurnus fossilis), velevrub tupı (Unio crassus), vydra øíèní (Lutra lutra)",859.5027
CZ0210714,Lovické tùnì,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), lesák rumìlkovı (Cucujus cinnaberinus)",69.654
CZ0533002,Malá Straka,kuòka ohnivá (Bombina bombina),3.6022
CZ0213613,Malešov,netopır èernı (Barbastella barbastellus),0.0398
CZ0313815,Malı Bukaè,èolek velkı (Triturus cristatus),5.5764
CZ0714083,Malı Kosíø,"evropská suchá vøesovištì (4030), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), pøástevník kostivalovı (Euplagia quadripunctaria)",13.3822
CZ0323640,Manìtín - kostel,netopır velkı (Myotis myotis),0.0465
CZ0513244,Manušické rybníky,kuòka ohnivá (Bombina bombina),14.2564
CZ0614137,Maršálka,"pøechodová rašeliništì a tøasovištì (7140), vrkoè Geyerùv (Vertigo geyeri)",8.0913
CZ0613003,Maršovec a Èepièka,kuòka ohnivá (Bombina bombina),12.39
CZ0613005,Martinickı potok,vranka obecná (Cottus gobio),27.4396
CZ0623357,Mašovickı lom,èolek dravı (Triturus carnifex),9.2733
CZ0413185,Matyáš,èolek velkı (Triturus cristatus),70.8804
CZ0624001,Meandry Dyje,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), klínatka rohatá (Ophiogomphus cecilia)",232.1792
CZ0624238,Meandry Jihlavy,hrouzek bìloploutvı (Gobio albipinnatus),76.8605
CZ0323156,Mešenskı potok,rak kamenáè (Austropotamobius torrentium),1.0379
CZ0413187,Mezi rybníky,hnìdásek chrastavcovı (Euphydryas aurinia),10.2148
CZ0533012,Michnovka-Pravy,èolek velkı (Triturus cristatus),2.8234
CZ0113002,Milíèovskı les,tesaøík obrovskı (Cerambyx cerdo),11.4163
CZ0623018,Milotice - letištì,sysel obecnı (Spermophilus citellus),26.9566
CZ0214006,Milovice - Mladá,"otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis) (2330), evropská suchá vøesovištì (4030), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), dubohabøiny asociace Galio-Carpinetum (9170), staré acidofilní doubravy s dubem letním (Quercus robur) na písèitıch pláních (9190), èolek velkı (Triturus cristatus)",1244.11
CZ0624100,Milovickı les,"polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), subpanonské stepní trávníky (6240), panonské dubohabøiny (91G0), panonské šípákové doubravy (91H0), eurosibiøské stepní doubravy (91I0), bourovec trnkovı (Eriogaster catax), netopır èernı (Barbastella barbastellus), netopır velkouchı (Myotis bechsteinii), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus)",2443.2085
CZ0213047,Minartice,kuòka ohnivá (Bombina bombina),2.7497
CZ0723410,Mokøad Pumpák,èolek velkı (Triturus cristatus),1.9306
CZ0813455,Mokøad u Rondelu,èolek velkı (Triturus cristatus),14.5583
CZ0723412,Mokøad u Slováckıch strojíren,kuòka lutobøichá (Bombina variegata),8.6276
CZ0413181,Mokøady u Javorné,hnìdásek chrastavcovı (Euphydryas aurinia),51.9868
CZ0413013,Mokøady u Tìšetic,hnìdásek chrastavcovı (Euphydryas aurinia),14.6864
CZ0714085,Morava - Chropyòskı luh,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), bobr evropskı (Castor fiber), èolek velkı (Triturus cristatus), hrouzek Kesslerùv (Gobio kesslerii), modrásek bahenní (Phengaris nausithous), ohniváèek èernoèárnı (Lycaena dispar)",3205.3339
CZ0813456,Moravice,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), mihule potoèní (Lampetra planeri), vranka obecná (Cottus gobio), vydra øíèní (Lutra lutra)",209.5993
CZ0313110,Moravská Dyje,"hoøavka duhová (Rhodeus sericeus amarus), vydra øíèní (Lutra lutra)",258.6103
CZ0624130,Moravskı kras,"panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), subpanonské stepní trávníky (6240), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), vápnité sutì pahorkatin a horského stupnì (8160), chasmofytická vegetace vápnitıch skalnatıch svahù (8210), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Asperulo-Fagetum (9130), støedoevropské vápencové buèiny (Cephalanthero-Fagion) (9150), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), panonské dubohabøiny (91G0), panonské šípákové doubravy (91H0), hadinec èervenı (Echium maculatum), koniklec velkokvìtı (Pulsatilla grandis), kovaøík fialovı (Limoniscus violaceus), netopır brvitı (Myotis emarginatus), netopır èernı (Barbastella barbastellus), netopır velkouchı (Myotis bechsteinii), netopır velkı (Myotis myotis), pøástevník kostivalovı (Euplagia quadripunctaria), støevíèník pantoflíèek (Cypripedium calceolus), šikoušek zelenı (Buxbaumia viridis), vranka obecná (Cottus gobio), vrápenec malı (Rhinolophus hipposideros)",6485.3704
CZ0624103,Mušovskı luh,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), hrouzek bìloploutvı (Gobio albipinnatus), lesák rumìlkovı (Cucujus cinnaberinus), roháè obecnı (Lucanus cervus), vydra øíèní (Lutra lutra)",557.4511
CZ0213065,Na Babì,"kontinentální opadavé køoviny (40A0), panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), pøástevník kostivalovı (Euplagia quadripunctaria)",29.2094
CZ0614054,Na Oklice,"evropská suchá vøesovištì (4030), formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících (5130), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), pøechodová rašeliništì a tøasovištì (7140), srpnatka fermeová (Hamatocaulis vernicosus), vrkoè Geyerùv (Vertigo geyeri)",60.2406
CZ0613012,Na Ostráné,modrásek bahenní (Phengaris nausithous),1.6739
CZ0413191,Na Pilské šachtì,hnìdásek chrastavcovı (Euphydryas aurinia),17.2498
CZ0523010,Na Plachtì,"èolek velkı (Triturus cristatus), modrásek oèkovanı (Phengaris teleius), váka jasnoskvrnná (Leucorrhinia pectoralis)",55.7945
CZ0713730,Na Špièáku,vrápenec malı (Rhinolophus hipposideros),6.9564
CZ0724121,Nad Jasenkou,"formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících (5130), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), petrifikující prameny s tvorbou pìnovcù (Cratoneurion) (7220), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), vrkoè útlı (Vertigo angustior)",738.575
CZ0313128,Nadìjská soustava,"páchník hnìdı (Osmoderma eremita), vydra øíèní (Lutra lutra)",612.2595
CZ0523282,Nadslav,kuòka ohnivá (Bombina bombina),6.9073
CZ0613699,Námìš nad Oslavou - zámeèek,netopır brvitı (Myotis emarginatus),0.0774
CZ0613816,Námìšská obora,"kovaøík fialovı (Limoniscus violaceus), páchník hnìdı (Osmoderma eremita), tesaøík obrovskı (Cerambyx cerdo)",285.5163
CZ0423006,Nebeskı rybníèek u Veselí,èolek velkı (Triturus cristatus),1.368
CZ0214043,Niva Bìlé u Klokoèky,"bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), zásaditá slatiništì (7230), popelivka sibiøská (Ligularia sibirica), vrkoè bainnı (Vertigo moulinsiana)",11.198
CZ0624099,Niva Dyje,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), nivní louky øíèních údolí svazu Cnidion dubii (6440), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), bobr evropskı (Castor fiber), hoøavka duhová (Rhodeus sericeus amarus), kuòka ohnivá (Bombina bombina), lesák rumìlkovı (Cucujus cinnaberinus), ohniváèek èernoèárnı (Lycaena dispar), páchník hnìdı (Osmoderma eremita), piskoø pruhovanı (Misgurnus fossilis), roháè obecnı (Lucanus cervus), svinutec tenkı (Anisus vorticulus), tesaøík obrovskı (Cerambyx cerdo), vrápenec malı (Rhinolophus hipposideros)",3249.0428
CZ0613009,Niva Fryšávky,modrásek bahenní (Phengaris nausithous),35.3296
CZ0813457,Niva Olše - Vìøòovice,"kuòka lutobøichá (Bombina variegata), páchník hnìdı (Osmoderma eremita)",540.494
CZ0213001,Novı rybník u Kaèiny,kuòka ohnivá (Bombina bombina),14.2096
CZ0623708,Novı zámek Jevišovice,netopır brvitı (Myotis emarginatus),0.2839
CZ0424039,Oblík - Srdov - Brník,"vápnité nebo bazické skalní trávníky (Alysso-Sedion albi) (6110), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), vápnité sutì pahorkatin a horského stupnì (8160), kavyl olysalı (Stipa zalesskii), pøástevník kostivalovı (Euplagia quadripunctaria), saranèe skalní (Stenobothrus eurasius)",335.1659
CZ0113001,Obora Hvìzda,vrkoè útlı (Vertigo angustior),1.9125
CZ0713383,Ohrozim - Horka,èolek velkı (Triturus cristatus),0.1122
CZ0423510,Ohøe,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), bolen dravı (Aspius aspius), losos obecnı (Salmo salar), velevrub tupı (Unio crassus)",506.9111
CZ0523283,Olešnice,roháè obecnı (Lucanus cervus),388.3406
CZ0813516,Olše,"alpínské øeky a bylinná vegetace podél jejich bøehù (3220), alpínské øeky a jejich døevinná vegetace s vrbou šedou (Salix elaeagnos) (3240), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), mihule potoèní (Lampetra planeri), vydra øíèní (Lutra lutra)",169.0421
CZ0413188,Olšová vrata,sysel obecnı (Spermophilus citellus),46.1322
CZ0313114,Onšovice - Mlıny,modrásek bahenní (Phengaris nausithous),23.8828
CZ0523284,Opoèno,"páchník hnìdı (Osmoderma eremita), roháè obecnı (Lucanus cervus)",68.3291
CZ0524049,Orlice a Labe,"otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis) (2330), pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), bolen dravı (Aspius aspius), klínatka rohatá (Ophiogomphus cecilia), vydra øíèní (Lutra lutra)",2683.18
CZ0323158,Osek - rybník Labutinka,kuòka ohnivá (Bombina bombina),14.3658
CZ0813460,Osoblaskı vıbìek,kuòka ohnivá (Bombina bombina),102.743
CZ0413190,Ostrovské rybníky,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), èolek velkı (Triturus cristatus)",121.0345
CZ0213051,Oškobrh,roháè obecnı (Lucanus cervus),94.1636
CZ0713736,Otaslavice - kostel,netopır velkı (Myotis myotis),0.0648
CZ0723413,Ovèírka,kuòka ohnivá (Bombina bombina),10.2205
CZ0214042,Padrsko,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), evropská suchá vøesovištì (4030), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), pøechodová rašeliništì a tøasovištì (7140), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), rašelinnı les (91D0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), rak kamenáè (Austropotamobius torrentium)",829.9154
CZ0533309,Pardubice - zámek,páchník hnìdı (Osmoderma eremita),3.7457
CZ0533691,Paøíov,netopır èernı (Barbastella barbastellus),0.0038
CZ0813463,Paskov,páchník hnìdı (Osmoderma eremita),16.8614
CZ0423223,Petrohrad,páchník hnìdı (Osmoderma eremita),44.939
CZ0523680,Pevnost Dobrošov,"netopır brvitı (Myotis emarginatus), netopır velkı (Myotis myotis), vrápenec malı (Rhinolophus hipposideros)",1.9725
CZ0523006,Piletickı a Librantickı potok,šidélko ozdobné (Coenagrion ornatum),25.3487
CZ0623808,Pisárky,roháè obecnı (Lucanus cervus),70.695
CZ0713385,Píseèná - mokøad,kuòka lutobøichá (Bombina variegata),7.5429
CZ0623021,Píseènı rybník,svinutec tenkı (Anisus vorticulus),43.7838
CZ0413184,Pískovna Erika,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), èolek velkı (Triturus cristatus)",21.8527
CZ0424138,Písteckı les,"smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), lesák rumìlkovı (Cucujus cinnaberinus)",167.7642
CZ0423224,Ploskovice,páchník hnìdı (Osmoderma eremita),9.0081
CZ0323159,Plzeò - Zábìlá,"bahnité bøehy øek s vegetací svazù Chenopodion rubri p.p. a Bidention p.p. (3270), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), páchník hnìdı (Osmoderma eremita)",114.7049
CZ0323160,Pocinovice,èolek velkı (Triturus cristatus),0.8198
CZ0523011,Pod Rızmburkem,èolek velkı (Triturus cristatus),0.7602
CZ0513663,Podhájí - chalupa,vrápenec malı (Rhinolophus hipposideros),0.0215
CZ0413179,Podhorní louky,hnìdásek chrastavcovı (Euphydryas aurinia),41.331
CZ0623344,Podkomorské lesy,roháè obecnı (Lucanus cervus),567.0596
CZ0214014,Podlesí,"oligotrofní a mezotrofní stojaté vody níinného a subalpínského stupnì kontinentální a alpínské oblasti a horskıch poloh a jinıch oblastí, s vegetací tøíd Littorelletea uniflorae nebo Isoëto-Nanojuncetea (3130), pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), pøechodová rašeliništì a tøasovištì (7140), puchıøka útlá (Coleanthus subtilis), váka jasnoskvrnná (Leucorrhinia pectoralis), vrkoè útlı (Vertigo angustior)",9.3581
CZ0623360,Podmolí - strouha,èolek dravı (Triturus carnifex),5.0959
CZ0533693,Podolská a Páterova jeskynì,"netopır brvitı (Myotis emarginatus), vrápenec malı (Rhinolophus hipposideros)",2.00E-04
CZ0514113,Podtrosecká údolí,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), jeskynì nepøístupné veøejnosti (8310), hlízovec Loeselùv (Liparis loeselii), modrásek bahenní (Phengaris nausithous), sekavec (Cobitis taenia), srpnatka fermeová (Hamatocaulis vernicosus), vláskatec tajemnı (Trichomanes speciosum), vrápenec malı (Rhinolophus hipposideros)",518.8955
CZ0624096,Podyjí,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), evropská suchá vøesovištì (4030), kontinentální opadavé køoviny (40A0), formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících (5130), panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), støedoevropské silikátové sutì (8150), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), pionırská vegetace silikátovıch skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii) (8230), jeskynì nepøístupné veøejnosti (8310), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), eurosibiøské stepní doubravy (91I0), èolek velkı (Triturus cristatus), koniklec velkokvìtı (Pulsatilla grandis), kovaøík fialovı (Limoniscus violaceus), netopır èernı (Barbastella barbastellus), netopır velkouchı (Myotis bechsteinii), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus), støevíèník pantoflíèek (Cypripedium calceolus), šikoušek zelenı (Buxbaumia viridis), tesaøík obrovskı (Cerambyx cerdo), vranka obecná (Cottus gobio), vrápenec malı (Rhinolophus hipposideros)",6273.1347
CZ0723415,Polichno,bourovec trnkovı (Eriogaster catax),67.1242
CZ0723414,Polichno - Pod duby,bourovec trnkovı (Eriogaster catax),26.8077
CZ0814092,Poodøí,"oligotrofní a mezotrofní stojaté vody níinného a subalpínského stupnì kontinentální a alpínské oblasti a horskıch poloh a jinıch oblastí, s vegetací tøíd Littorelletea uniflorae nebo Isoëto-Nanojuncetea (3130), tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), dubohabøiny asociace Galio-Carpinetum (9170), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), èolek velkı (Triturus cristatus), hoøavka duhová (Rhodeus sericeus amarus), klínatka rohatá (Ophiogomphus cecilia), kuòka ohnivá (Bombina bombina), modrásek bahenní (Phengaris nausithous), ohniváèek èernoèárnı (Lycaena dispar), páchník hnìdı (Osmoderma eremita), piskoø pruhovanı (Misgurnus fossilis), svinutec tenkı (Anisus vorticulus), velevrub tupı (Unio crassus)",5235.0293
CZ0623788,Popice - fara,vrápenec malı (Rhinolophus hipposideros),0.0341
CZ0723416,Popovické rybníky,kuòka lutobøichá (Bombina variegata),98.7478
CZ0424141,Porta Bohemica,"bahnité bøehy øek s vegetací svazù Chenopodion rubri p.p. a Bidention p.p. (3270), vápnité nebo bazické skalní trávníky (Alysso-Sedion albi) (6110), støedoevropské silikátové sutì (8150), vápnité sutì pahorkatin a horského stupnì (8160), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), bobr evropskı (Castor fiber), losos obecnı (Salmo salar)",6113.2961
CZ0514669,Poselskı a Mariánskı rybník,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), pøirozená dystrofní jezera a tùnì (3160), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), pøechodová rašeliništì a tøasovištì (7140), prolákliny na rašelinném podloí (Rhynchosporion) (7150), rašelinnı les (91D0), váka jasnoskvrnná (Leucorrhinia pectoralis), vrkoè bainnı (Vertigo moulinsiana)",79.6177
CZ0624060,Pouzdøanská step - Kolby,"polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), panonské sprašové stepní trávníky (6250), panonské dubohabøiny (91G0), eurosibiøské stepní doubravy (91I0), katrán tatarskı (Crambe tataria), pelynìk Panèièùv (Artemisia pancicii), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus), støevlík panonskı (Carabus hungaricus)",177.421
CZ0723417,Pozdìchov,vrkoè útlı (Vertigo angustior),0.3557
CZ0723754,Pozdìchov - kostel,vrápenec malı (Rhinolophus hipposideros),0.0594
CZ0714077,Pradìd,"alpínská a boreální vøesovištì (4060), subarktické vrbové køoviny (4080), silikátové alpínské a boreální trávníky (6150), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), aktivní vrchovištì (7110), pøechodová rašeliništì a tøasovištì (7140), silikátové sutì horského a niválního stupnì (Androsacetalia alpinae a Galeopsietalia ladani) (8110), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), rašelinnı les (91D0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), lipnice jesenická (Poa riphaea), støevlík hrbolatı (Carabus variolosus), šikoušek zelenı (Buxbaumia viridis), zvonek jesenickı (Campanula gelida)",6070.7695
CZ0113774,Praha - Letòany,sysel obecnı (Spermophilus citellus),64.9455
CZ0113773,Praha - Petøín,roháè obecnı (Lucanus cervus),52.5905
CZ0313820,Prachatice - kostel,netopır velkı (Myotis myotis),0.087
CZ0513249,Prácheò - Zicht,èolek velkı (Triturus cristatus),2.0807
CZ0413007,Prachomety,hnìdásek chrastavcovı (Euphydryas aurinia),20.6674
CZ0413008,Prameny Teplé,hnìdásek chrastavcovı (Euphydryas aurinia),154.8067
CZ0423660,Praská pole,"èolek velkı (Triturus cristatus), kuòka ohnivá (Bombina bombina), váka jasnoskvrnná (Leucorrhinia pectoralis)",109.9357
